# source: FAOSTAT Food Balance Sheets — Global average dietary energy supply
# url: https://www.fao.org/faostat/en/#data/FBSH
# units: kg/person/year
# transformation: kcal_per_capita_per_day * 365 / 1200 (weighted average food energy density kcal/kg)
# retrieved: 2026-03-04
year,value
1961,668.0
1962,674.7
1963,677.4
1964,693.2
1965,694.0
1966,698.4
1967,711.2
1968,712.0
1969,718.5
1970,720.9
1971,723.3
1972,714.5
1973,726.6
1974,726.0
1975,722.4
1976,729.2
1977,737.0
1978,744.9
1979,751.3
1980,759.5
1981,761.4
1982,767.4
1983,772.3
1984,779.2
1985,785.1
1986,787.2
1987,789.3
1988,793.2
1989,795.4
1990,796.7
1991,794.2
1992,794.6
1993,798.4
1994,803.2
1995,806.1
1996,810.3
1997,815.4
1998,818.8
1999,820.7
2000,825.4
2001,827.4
2002,829.2
2003,833.4
2004,838.3
2005,842.6
2006,846.8
2007,850.8
2008,852.3
2009,855.0
2010,861.4
2011,866.2
2012,870.6
2013,874.2
2014,877.8
2015,880.5
2016,883.3
2017,886.1
2018,888.4
2019,890.6
2020,890.6
2021,892.8
2022,894.3
