# source: FAOSTAT Food Balance Sheets — Global average dietary energy supply
# url: https://www.fao.org/faostat/en/#data/FBSH
# units: kg/person/year
# transformation: kcal_per_capita_per_day * 365 / 1800 (average food energy density kcal/kg)
# retrieved: 2026-03-04
year,value
1961,445.3
1962,449.8
1963,451.6
1964,462.1
1965,462.7
1966,465.6
1967,474.1
1968,474.7
1969,479.0
1970,480.6
1971,482.2
1972,476.3
1973,484.4
1974,484.0
1975,481.6
1976,486.1
1977,491.3
1978,496.6
1979,500.9
1980,506.3
1981,507.6
1982,511.6
1983,514.9
1984,519.5
1985,523.4
1986,524.8
1987,526.2
1988,528.8
1989,530.3
1990,531.1
1991,529.5
1992,529.7
1993,532.3
1994,535.5
1995,537.4
1996,540.2
1997,543.6
1998,545.9
1999,547.1
2000,550.3
2001,551.6
2002,552.8
2003,555.6
2004,558.9
2005,561.7
2006,564.5
2007,567.2
2008,568.2
2009,570.0
2010,574.3
2011,577.5
2012,580.4
2013,582.8
2014,585.2
2015,587.0
2016,588.9
2017,590.7
2018,592.3
2019,593.7
2020,593.7
2021,595.2
2022,596.2
