# source: World Bank NV.IND.TOTL.KD (Industry value added, constant 2015 USD) / SP.POP.TOTL / 3.51
# url: https://api.worldbank.org/v2/country/1W/indicator/NV.IND.TOTL.KD?date=1960:2023&format=json&per_page=200
# units: 1975 USD/person/year
# transformation: NV.IND.TOTL.KD / SP.POP.TOTL / 3.51 (2015-to-1975 USD deflator); 1960-1993 estimated from NY.GDP.MKTP.KD * industrial_share, scaled by 0.8102 to splice with 1994 actual
# retrieved: 2026-03-04
year,value
1960,304.43
1961,313.09
1962,324.89
1963,334.94
1964,350.61
1965,363.65
1966,376.44
1967,383.61
1968,399.22
1969,415.48
1970,423.44
1971,430.76
1972,444.45
1973,462.52
1974,461.35
1975,454.48
1976,468.23
1977,477.21
1978,486.85
1979,496.62
1980,495.64
1981,492.08
1982,480.96
1983,480.39
1984,489.97
1985,494.80
1986,497.70
1987,502.58
1988,511.51
1989,516.40
1990,516.68
1991,510.52
1992,508.81
1993,506.33
1994,506.33
1995,515.15
1996,525.45
1997,535.41
1998,534.54
1999,541.83
2000,562.35
2001,561.45
2002,566.32
2003,581.70
2004,605.43
2005,624.39
2006,652.69
2007,679.39
2008,686.01
2009,652.37
2010,694.91
2011,716.80
2012,727.49
2013,739.76
2014,758.30
2015,774.68
2016,790.87
2017,812.65
2018,832.28
2019,837.66
2020,811.06
2021,860.83
2022,873.90
2023,884.57
