# source: World Bank NV.IND.TOTL.KD (Industry value added, constant 2015 USD) / SP.POP.TOTL / 3.51
# url: https://api.worldbank.org/v2/country/1W/indicator/NV.IND.TOTL.KD?date=1960:2023&format=json&per_page=200
# units: 1975 USD/person/year
# transformation: NV.IND.TOTL.KD / SP.POP.TOTL / 3.51 (2015-to-1975 USD deflator); 1960-1993 estimated from NY.GDP.MKTP.KD * industrial_share
# retrieved: 2026-03-04
year,value
1960,375.75
1961,386.45
1962,401.01
1963,413.42
1964,432.76
1965,448.85
1966,464.64
1967,473.49
1968,492.76
1969,512.82
1970,522.65
1971,531.68
1972,548.58
1973,570.89
1974,569.44
1975,560.96
1976,577.93
1977,589.02
1978,600.92
1979,612.98
1980,611.77
1981,607.37
1982,593.64
1983,592.94
1984,604.77
1985,610.73
1986,614.31
1987,620.33
1988,631.35
1989,637.39
1990,637.74
1991,630.13
1992,628.02
1993,624.96
1994,506.33
1995,515.15
1996,525.45
1997,535.41
1998,534.54
1999,541.83
2000,562.35
2001,561.45
2002,566.32
2003,581.7
2004,605.43
2005,624.39
2006,652.69
2007,679.39
2008,686.01
2009,652.37
2010,694.91
2011,716.8
2012,727.49
2013,739.76
2014,758.3
2015,774.68
2016,790.87
2017,812.65
2018,832.28
2019,837.66
2020,811.06
2021,860.83
2022,873.9
2023,884.57
