# source: World Bank SP.DYN.LE00.IN (Life expectancy at birth, total)
# url: https://api.worldbank.org/v2/country/1W/indicator/SP.DYN.LE00.IN?date=1960:2023&format=json&per_page=200
# units: years
# transformation: none
# retrieved: 2026-03-04
year,value
1960,50.94
1961,52.8
1962,55.29
1963,55.65
1964,56.1
1965,55.93
1966,56.45
1967,56.9
1968,57.34
1969,57.68
1970,57.94
1971,58.02
1972,58.84
1973,59.3
1974,59.7
1975,60.13
1976,60.45
1977,61.04
1978,61.39
1979,61.84
1980,62.15
1981,62.52
1982,62.87
1983,63.13
1984,63.44
1985,63.72
1986,64.12
1987,64.46
1988,64.67
1989,64.96
1990,65.11
1991,65.3
1992,65.55
1993,65.74
1994,65.96
1995,66.2
1996,66.51
1997,66.83
1998,67.07
1999,67.31
2000,67.65
2001,67.94
2002,68.23
2003,68.51
2004,68.77
2005,69.11
2006,69.47
2007,69.8
2008,70.0
2009,70.38
2010,70.68
2011,70.97
2012,71.26
2013,71.53
2014,71.78
2015,71.96
2016,72.18
2017,72.37
2018,72.64
2019,72.87
2020,72.18
2021,71.22
2022,72.97
