# source: World Bank SP.POP.TOTL (Population, total)
# url: https://api.worldbank.org/v2/country/1W/indicator/SP.POP.TOTL?date=1960:2023&format=json&per_page=200
# units: persons
# transformation: none
# retrieved: 2026-03-04
year,value
1960,3021512598
1961,3062768116
1962,3117372187
1963,3184063049
1964,3251253200
1965,3318997522
1966,3389087189
1967,3459015356
1968,3530703561
1969,3604815552
1970,3680589045
1971,3758613546
1972,3834446322
1973,3911068458
1974,3987294240
1975,4062070771
1976,4135758539
1977,4208958804
1978,4283431043
1979,4360056401
1980,4437602892
1981,4516926190
1982,4599539241
1983,4682924536
1984,4766040300
1985,4850740788
1986,4937711562
1987,5027030278
1988,5117167006
1989,5207654866
1990,5299246757
1991,5388496229
1992,5477123966
1993,5564778621
1994,5650853178
1995,5736505517
1996,5822614627
1997,5908466558
1998,5994040064
1999,6078404337
2000,6161884811
2001,6245112906
2002,6327557399
2003,6409750441
2004,6492769815
2005,6575841506
2006,6659977025
2007,6744489399
2008,6830513541
2009,6916589116
2010,7001266876
2011,7087120034
2012,7176929184
2013,7265892332
2014,7354068030
2015,7441677465
2016,7528879985
2017,7614523410
2018,7697233736
2019,7778008621
2020,7854748424
2021,7920514854
2022,7989545217
2023,8064057930
