# source: Our World in Data Energy Dataset (coal_production + oil_production + gas_production, TWh)
# url: https://raw.githubusercontent.com/owid/energy-data/master/owid-energy-data.csv
# units: fraction 0-1 (1900=1.0)
# transformation: max(0, 1.0 - cumulative_fossil_production_TWh / URR(3,900,000 TWh))
# retrieved: 2026-03-04
year,value
1900,0.998549
1901,0.997064
1902,0.995538
1903,0.993873
1904,0.99219
1905,0.990383
1906,0.98848
1907,0.986364
1908,0.984336
1909,0.982216
1910,0.979977
1911,0.977691
1912,0.975297
1913,0.972729
1914,0.970396
1915,0.968082
1916,0.965602
1917,0.963008
1918,0.960455
1919,0.958219
1920,0.955632
1921,0.953387
1922,0.950996
1923,0.948205
1924,0.945463
1925,0.942683
1926,0.93989
1927,0.936848
1928,0.933811
1929,0.93055
1930,0.927526
1931,0.924783
1932,0.922283
1933,0.919642
1934,0.916789
1935,0.913787
1936,0.910507
1937,0.906993
1938,0.90365
1939,0.900128
1940,0.896312
1941,0.892354
1942,0.888387
1943,0.884259
1944,0.880096
1945,0.876468
1946,0.872584
1947,0.86825
1948,0.863613
1949,0.85909
1950,0.854084
1951,0.848612
1952,0.843017
1953,0.837263
1954,0.83142
1955,0.825
1956,0.81812
1957,0.810929
1958,0.803484
1959,0.795568
1960,0.78716
1961,0.778684
1962,0.769703
1963,0.760197
1964,0.750051
1965,0.739218
1966,0.727776
1967,0.715954
1968,0.703311
1969,0.689884
1970,0.675868
1971,0.661316
1972,0.646224
1973,0.630202
1974,0.614059
1975,0.59807
1976,0.58111
1977,0.563556
1978,0.545729
1979,0.526978
1980,0.508721
1981,0.490815
1982,0.47304
1983,0.455351
1984,0.436929
1985,0.418172
1986,0.398747
1987,0.378966
1988,0.358452
1989,0.337547
1990,0.316325
1991,0.295244
1992,0.274026
1993,0.252961
1994,0.231542
1995,0.209705
1996,0.187255
1997,0.164486
1998,0.141544
1999,0.118563
2000,0.094814
2001,0.070612
2002,0.046306
2003,0.020768
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
